fact_id,status,theme,theme_group,sub_theme,raw_text,astrological_trigger_json,interpretation_text,interpretation_summary_ai,confidence_score,source_name,source_reference,last_updated,notes
f9dbeae382f0f79b_fact_2,Passed,"Foundational Concepts,career_public_life","Astrological Principles,Career Dynamics,Other,Prominence & Governance","authority_leadership,career_stability_longevity,definition,general_principle,other_career_related,politics_public_service,public_image_reputation","Its placement in the 10th house is a powerful signature for a career in governance,Primary Houses: The 1st House (Lagna - the self and status) and the 10th House (Karma Sthana - public status,Your potential to achieve prominence,and a respected public reputation is determined by the combined strength of your Ascendant,and key planets like the Sun.,authority,or a high-level executive position.,politics,power).,your 10th house","{""type"": ""house_profile"", ""house"": 10, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": """", ""classifications"": [], ""karakas"": [], ""significations"": []}","The 10th house is a cornerstone of the birth chart, signifying public image, career, and authority. It represents one's status in the world and potential for leadership. A prominent 10th house often suggests careers in governance, politics, or high-level executive positions, reflecting a drive for public recognition and influence","The 10th house governs career, public image, and authority, indicating potential for leadership roles in government, politics, or executive positions",0.95,Gemini,Page 1,2025-09-22T00:26:33.135570,AI_CORRECTED: JSON passed validation after AI fix.
fe9830862168c4dd_fact_1,Passed,"career_public_life,relationships","Prominence & Governance,Public Interaction,Social & Family Relations","friendships_social_circle,networking_influence,partnerships_collaborations,public_image_reputation,social_influence_presence","Success in networking is seen via a strong 11th house (network) and its lord,Your public image and ability to influence others are further shaped by the condition of the Moon and your 11th house,especially when connected to the 10th or 1st lords.,which governs your professional network.","{""type"": ""house_profile"", ""house"": 11, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": """", ""classifications"": [], ""karakas"": [], ""significations"": []}","The 11th house signifies gains, aspirations, friendships, and large networks, particularly professional ones. A strong 11th house generally indicates success in networking and achieving goals through collaborations. The strength and influence of the 11th house lord are key factors in this success, with connections to the 1st house (self-expression and identity) and 10th house (career and public standing) lords further amplifying the potential for impactful networking and social influence. The overall condition of the 11th house also shapes public image and the ability to influence others","The 11th house governs professional networks, social influence, public image, and achieving goals through collaborations",0.95,Gemini,Page 1,2025-09-22T00:26:33.135821,AI_CORRECTED: JSON passed validation after AI fix.
4c0f87ec937c62b7_fact_6,Passed,"career_public_life,core_self_vitality,learning_education_creativity,relationships,travel_dharma_spirituality","Identity & Personality,Profession & Field,Skills & Creativity,Social & Family Relations,Travel & Journeys","communication_media_publishing,confidence_charisma,friendships_social_circle,short_travel_local","The strength of Mars provides the executive ability and courage needed for military, defense, or management roles, especially when influencing the 3rd (courage) or 10th house.","{""type"": ""house_profile"", ""house"": 3, ""planet_in_house"": ""Mars"", ""aspected_by_planet"": null, ""state"": ""enhances"", ""classifications"": [""enhancement""], ""karakas"": [], ""significations"": []}",Interpretation at Source: Mars's influence on the 3rd house enhances courage,"Mars in the 3rd house increases courage. (Additional Context: This suggests increased assertiveness in communication, sibling relationships, and short journeys. Mars's energy might manifest as bold self-expression and potentially short-tempered interactions",0.95,Gemini,Page 1,2025-09-22T00:26:33.135732,
4c0f87ec937c62b7_fact_5,Passed,career_public_life,"Profession & Field,Prominence & Governance","authority_leadership,other_profession_type","The strength of Mars provides the executive ability and courage needed for military, defense, or management roles, especially when influencing the 3rd (courage) or 10th house.","{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": ""Mars"", ""aspected_by_planet"": null, ""state"": ""strength"", ""classifications"": [""management roles""], ""karakas"": [], ""significations"": []}",Interpretation at Source: Mars's strength is needed for management roles,Mars's strength is needed for management roles. (Additional Context: This suggests Mars's energy is crucial for success in leadership positions. The house where Mars is placed might indicate the area of life where this managerial strength is most effective,0.95,Gemini,Page 1,2025-09-22T00:26:33.135732,
4c0f87ec937c62b7_fact_4,Passed,career_public_life,Prominence & Governance,military_defense_security,"The strength of Mars provides the executive ability and courage needed for military, defense, or management roles, especially when influencing the 3rd (courage) or 10th house.","{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": ""Mars"", ""aspected_by_planet"": null, ""state"": ""strength"", ""classifications"": [], ""karakas"": [], ""significations"": [""defense roles""]}",Interpretation at Source: Mars's strength is needed for defense roles,"Mars's strength is needed for defense roles. (Additional Context: This suggests a strong need for assertive action and protection in matters related to the house where Mars is placed. Mars's nature, typically associated with energy and aggression, is channeled towards defense, implying a potential for conflict or the need for strong boundaries",0.95,Gemini,Page 1,2025-09-22T00:26:33.135732,
4c0f87ec937c62b7_fact_1,Passed,"career_public_life,core_self_vitality,health_risks_longevity","Identity & Personality,Physical Health,Prominence & Governance","authority_leadership,confidence_charisma,vitality_energy_levels","The strength of Mars provides the executive ability and courage needed for military, defense, or management roles, especially when influencing the 3rd (courage) or 10th house.","{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": ""Mars"", ""aspected_by_planet"": null, ""state"": ""strength"", ""classifications"": [], ""karakas"": [], ""significations"": [""executive ability""]}",Interpretation at Source: Mars's strength provides executive ability,"Mars's strength grants executive ability. (Additional Context: This suggests a strong drive, assertive nature, and potential for leadership roles. The house Mars occupies will indicate the area of life where this executive ability manifests",0.95,Gemini,Page 1,2025-09-22T00:26:33.135732,
4c0f87ec937c62b7_fact_3,Passed,career_public_life,Prominence & Governance,military_defense_security,"The strength of Mars provides the executive ability and courage needed for military, defense, or management roles, especially when influencing the 3rd (courage) or 10th house.","{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": ""Mars"", ""aspected_by_planet"": null, ""state"": ""strength"", ""classifications"": [], ""karakas"": [], ""significations"": [""military_defense_security""]}",Interpretation at Source: Mars's strength is needed for military roles,"Mars's strength is needed for military roles. (Additional Context: This suggests a strong aptitude for military or leadership roles, potentially indicating success in such fields. Mars's energy might be channeled effectively towards assertive actions and strategic planning",0.95,Gemini,Page 1,2025-09-22T00:26:33.135732,
4c0f87ec937c62b7_fact_2,Passed,"core_self_vitality,health_risks_longevity","Identity & Personality,Physical Health","confidence_charisma,vitality_energy_levels","The strength of Mars provides the executive ability and courage needed for military, defense, or management roles, especially when influencing the 3rd (courage) or 10th house.","{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": ""Mars"", ""aspected_by_planet"": null, ""state"": ""strength"", ""classifications"": [], ""karakas"": [], ""significations"": []}",Interpretation at Source: Mars's strength provides courage,"Mars's strength provides courage. (Additional Context: This suggests the native possesses courage and assertive energy, potentially impacting their actions and approach to life challenges",0.95,Gemini,Page 1,2025-09-22T00:26:33.135732,
06b0bfb13db3cee8_fact_2,Passed,"career_public_life,doshas","Malefic Influences,Prominence & Governance","other_malefic_influences,public_image_reputation",Malefic influences on the 10th house or the Moon can create a controversial or hard-won reputation.,"{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": ""Moon"", ""aspected_by_planet"": null, ""state"": ""malefic_influence"", ""classifications"": [], ""karakas"": [], ""significations"": []}","When the Moon experiences malefic influences, it can significantly impact one's reputation. This can manifest as a controversial public image, marked by disputes and challenges to their standing. Alternatively, or even concurrently, the individual may find their reputation hard-won, requiring significant effort and perseverance to establish due to various obstacles and difficult experiences. This struggle can also stem from a negatively impacted lunar nature, potentially leading to emotional instability or difficulties navigating public life","Malefic influences on the Moon create a reputation that is both hard-won due to obstacles and potentially controversial, reflecting emotional struggles in public life",0.95,Gemini,Page 1,2025-09-22T00:26:33.135775,
70ebc35920bed9d1_fact_1,Passed,"career_public_life,relationships","Prominence & Governance,Public Interaction","public_image_reputation,social_influence_presence","Your public image and ability to influence others are further shaped by the condition of the Moon and your 11th house,which governs your professional network.","{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": ""Moon"", ""aspected_by_planet"": null, ""state"": """", ""classifications"": [], ""karakas"": [], ""significations"": []}","The Moon's presence in a house significantly shapes how one is perceived by the public, influencing their overall image and reputation. Furthermore, this lunar influence extends to one's capacity to influence and sway others, impacting their ability to persuade, lead, and navigate social dynamics. The specific house occupied by the Moon reveals the area of life where this interplay of public image and social influence is most prominently expressed","The Moon's house placement influences public image and the ability to persuade or lead, impacting the corresponding life area",0.95,Gemini,Page 1,2025-09-22T00:26:33.135863,AI_CORRECTED: JSON passed validation after AI fix.
b9ab365b1985c92b_fact_3,Passed,career_public_life,Prominence & Governance,public_image_reputation,"Your potential to achieve prominence, authority, and a respected public reputation is determined by the combined strength of your Ascendant, your 10th house, and key planets like the Sun.","{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": ""Sun"", ""aspected_by_planet"": null, ""state"": """", ""classifications"": [], ""karakas"": [], ""significations"": []}",The Summary: Your potential for a respected public reputation is determined by key planets like the Sun,"Public reputation depends on key planets like the Sun. (Additional Context: The Sun's placement and aspects significantly impact one's public image and standing. A strong Sun suggests potential for respect and recognition, while a weak Sun might indicate challenges in this area",0.95,Gemini,Page 1,2025-09-22T00:26:33.135835,AI_CORRECTED: JSON passed validation after AI fix.
486ec7ac808ad4db_fact_1,Passed,"Foundational Concepts,career_public_life,core_self_vitality,yogas","Astrological Principles,Identity & Personality,Prominence & Governance,Purpose & Direction,Strength & Success Yogas","authority_leadership,confidence_charisma,definition,general_principle,life_path_purpose,other_prominence_governance,other_strength_success_yogas,public_image_reputation,self_identity_character","A powerful Lagna and Lagna Lord are essential,The Ascendant Lord (Lagna Lord): Its strength and placement.,When the Lagna Lord is placed in the 10th house,Your potential to achieve prominence,and a respected public reputation is determined by the combined strength of your Ascendant,and key planets like the Sun.,as they provide the personal drive and charisma to achieve high status.,authority,or conjunct the 10th lord,the individual's entire identity becomes synonymous with their public role and authority.,your 10th house","{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": """", ""classifications"": [], ""karakas"": [], ""significations"": []}","The Ascendant (Lagna) and its ruling planet (Lagna Lord) are foundational to understanding one's potential for prominence and high status. A strong Ascendant provides the inherent drive and ambition, while a strong Lagna Lord bestows the charisma and leadership qualities necessary for achieving recognition. The placement of the Lagna Lord is crucial, as it further refines how these energies manifest. When the Lagna Lord conjuncts the 10th lord, the individual's sense of self becomes deeply intertwined with their public role and authority, signifying that their career or public image becomes a primary expression of their identity","A strong Ascendant and its ruler are fundamental for achieving prominence, with the Lagna Lord's placement and aspects, especially to the 10th house, shaping public image and authority",0.95,Gemini,Page 1,2025-09-22T00:26:33.135604,AI_CORRECTED: JSON passed validation after AI fix.
664e4e05b239e860_fact_1,Passed,career_public_life,Prominence & Governance,authority_leadership,"Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","{""type"": ""karaka"", ""karaka_type"": ""natural significator"", ""planet_name"": ""Sun"", ""signification"": ""authority""}","For Foundation Points, the Sun (Surya) is a key planet and the natural significator of authority","The Sun is a key planet for Foundation Points, signifying authority. (Additional Context: The Sun's role as a significator of authority in Foundation Points suggests a strong emphasis on leadership and self-expression in matters related to the foundational aspects of one's life",0.95,Gemini,Page 1,2025-09-22T00:26:33.135588,
664e4e05b239e860_fact_2,Passed,"Foundational Concepts,career_public_life","Astrological Principles,Prominence & Governance","authority_leadership,definition,general_principle","Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","{""type"": ""karaka"", ""karaka_type"": ""planet"", ""planet_name"": ""Mars"", ""signification"": ""command""}","For Foundation Points, Mars (Mangala) is a key planet signifying command",Mars signifies command in Foundation Points. (Additional Context: Mars's association with command suggests assertive energy and leadership potential within the house's affairs. It implies a forceful and direct approach to matters related to the house,0.95,Gemini,Page 1,2025-09-22T00:26:33.135588,
664e4e05b239e860_fact_4,Passed,"career_public_life,relationships","Prominence & Governance,Public Interaction","public_image_reputation,social_influence_presence","Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","{""type"": ""karaka"", ""karaka_type"": ""planet"", ""planet_name"": ""Moon"", ""signification"": ""public perception""}","For Foundation Points, the Moon (Chandra) is a key planet signifying public perception","The Moon signifies public perception in Foundation Points. (Additional Context: This suggests the Moon's placement and aspects strongly influence how the individual is perceived publicly, impacting reputation and social standing",0.95,Gemini,Page 1,2025-09-22T00:26:33.135588,
664e4e05b239e860_fact_3,Passed,"career_public_life,doshas,relationships","Malefic Influences,Prominence & Governance,Public Interaction","authority_leadership,saturn_affliction,social_influence_presence","Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","{""type"": ""karaka"", ""karaka_type"": ""planet"", ""planet_name"": ""Saturn"", ""signification"": ""influence over the masses""}","For Foundation Points, Saturn (Shani) is a key planet signifying influence over the masses","Saturn significantly influences the masses in Foundation Points. (Additional Context: Saturn's influence on the masses suggests a strong karmic weight related to societal structures and responsibilities within the house's affairs. This could indicate challenges related to authority, public image, or widespread impact, depending on the house placement",0.95,Gemini,Page 1,2025-09-22T00:26:33.135588,
fe9830862168c4dd_fact_6,Passed,"career_public_life,relationships","Prominence & Governance,Public Interaction","networking_influence,partnerships_collaborations","Success in networking is seen via a strong 11th house (network) and its lord, especially when connected to the 10th or 1st lords.","{""type"": ""lordship"", ""lord_of_house"": 11, ""placed_in_house"": null, ""planet_name"": null}",Interpretation at Source: Connections between the 11th house lord and the 10th or 1st house lords enhance networking success,"11th house lord's connection with 10th or 1st house lords improves networking. (Additional Context: This suggests strong networking abilities and successful collaborations, impacting career (10th house) and self-image (1st house",0.95,Gemini,Page 1,2025-09-22T00:26:33.135821,AI_CORRECTED: JSON passed validation after AI fix.
fe9830862168c4dd_fact_5,Passed,"career_public_life,relationships","Prominence & Governance,Public Interaction","networking_influence,partnerships_collaborations","Success in networking is seen via a strong 11th house (network) and its lord, especially when connected to the 10th or 1st lords.","{""type"": ""lordship"", ""lord_of_house"": 11, ""placed_in_house"": null, ""planet_name"": null}",Interpretation at Source: The lord of the 11th house is also significant for networking success,"The 11th house lord is important for networking success. (Additional Context: This suggests the 11th house's affairs, representing gains, friends, and aspirations, are strongly influenced by the planet ruling it, potentially indicating success in networking and collaborations depending on the planet's nature and placement",0.95,Gemini,Page 1,2025-09-22T00:26:33.135821,
5d9255421e70282d_fact_5,Passed,"career_public_life,core_self_vitality","Identity & Personality,Prominence & Governance","authority_leadership,public_image_reputation,self_identity_character","When the Lagna Lord is placed in the 10th house, or conjunct the 10th lord, the individual's entire identity becomes synonymous with their public role and authority.","{""type"": ""lordship"", ""lord_of_house"": null, ""placed_in_house"": 10, ""planet_name"": null}","In the interpretation at source, if the Lagna Lord is in the 10th house, the individual's identity is synonymous with their public role and authority","Lagna Lord in the 10th house equates personal identity with public role and authority. (Additional Context: This suggests a strong connection between one's inner self and their public persona. The individual's career and public life are likely to be central to their sense of self, and their authority is likely to be well-established and respected",0.95,Gemini,Page 1,2025-09-22T00:26:33.135687,
fe9830862168c4dd_fact_4,Passed,"career_public_life,relationships","Prominence & Governance,Public Interaction","networking_influence,partnerships_collaborations","Success in networking is seen via a strong 11th house (network) and its lord, especially when connected to the 10th or 1st lords.","{""type"": ""lordship"", ""lord_of_house"": null, ""placed_in_house"": 11, ""planet_name"": null}",Interpretation at Source: Success in networking is indicated by a strong 11th house,Strong 11th house indicates success in networking. (Additional Context: A strong 11th house suggests a positive environment for collaborations and gaining support from friends and networks. The individual may experience success through social connections and group efforts,0.95,Gemini,Page 1,2025-09-22T00:26:33.135821,
486ec7ac808ad4db_fact_3,Passed,"Foundational Concepts,career_public_life,core_self_vitality","Astrological Principles,Identity & Personality,Prominence & Governance,Purpose & Direction","authority_leadership,confidence_charisma,definition,general_principle,life_path_purpose,other_identity_personality,self_identity_character","A powerful Lagna and Lagna Lord are essential,The Ascendant Lord (Lagna Lord): Its strength and placement.,When the Lagna Lord is placed in the 10th house,as they provide the personal drive and charisma to achieve high status.,or conjunct the 10th lord,the individual's entire identity becomes synonymous with their public role and authority.","{""type"": ""lordship"", ""lord_of_house"": null, ""placed_in_house"": null, ""planet_name"": null}","The Ascendant (Lagna) and its ruling planet (Lagna Lord) are foundational to an individual's astrological chart, influencing their overall life direction and potential for achieving high status. A strong Ascendant provides the inherent drive and ambition for worldly achievement, while a strong Ascendant Lord bestows the charisma and public image necessary to attain and maintain prominence. The Ascendant Lord's placement further refines this potential, indicating specific areas of life where these foundational strengths manifest. When the Ascendant Lord conjuncts the 10th lord (ruler of career and public image), the individual's sense of self becomes deeply intertwined with their public role and authority, suggesting a powerful alignment between personal identity and professional life","A strong Ascendant and its Lord are fundamental for life direction and achieving high status, especially when the Lord conjuncts the 10th lord, merging personal identity with public role",0.95,Gemini,Page 1,2025-09-22T00:26:33.135604,
5d9255421e70282d_fact_7,Passed,"career_public_life,core_self_vitality","Identity & Personality,Prominence & Governance","authority_leadership,other_identity_personality,public_image_reputation,self_identity_character","When the Lagna Lord is placed in the 10th house, or conjunct the 10th lord, the individual's entire identity becomes synonymous with their public role and authority.","{""type"": ""placement"", ""planet_name"": null, ""house"": 10, ""sign"": null}","In the interpretation at source, if the Lagna Lord is in the 10th house, the individual's identity is synonymous with their public role and authority","Lagna Lord in the 10th house equates personal identity with public role and authority. (Additional Context: This suggests a strong connection between one's inner self and their public persona. The individual's career and public life are likely central to their sense of self, and their authority is likely well-established and respected",0.95,Gemini,Page 1,2025-09-22T00:26:33.135687,
5d9255421e70282d_fact_8,Passed,"Foundational Concepts,career_public_life,core_self_vitality","Astrological Principles,Identity & Personality,Prominence & Governance","authority_leadership,general_principle,public_image_reputation,self_identity_character","When the Lagna Lord is placed in the 10th house, or conjunct the 10th lord, the individual's entire identity becomes synonymous with their public role and authority.","{""type"": ""placement"", ""planet_name"": null, ""house"": null, ""sign"": null}","In the interpretation at source, if the Lagna Lord conjuncts the 10th lord, the individual's identity is synonymous with their public role and authority","Lagna Lord's conjunction with the 10th lord equates personal identity with public role and authority. (Additional Context: This suggests a strong connection between one's inner self and their outward projection, indicating a life where personal values are prominently displayed in their career and public life. The individual's public image likely reflects their core personality",0.95,Gemini,Page 1,2025-09-22T00:26:33.135687,
4c0f87ec937c62b7_fact_14,Passed,career_public_life,Prominence & Governance,,"The strength of Mars provides the executive ability and courage needed for military, defense, or management roles, especially when influencing the 3rd (courage) or 10th house.","{""type"": ""planet_profile"", ""planet_name"": ""Mars"", ""house"": 10, ""aspects_house"": null, ""karaka_for"": [], ""state"": null, ""sign"": null, ""friends"": [], ""enemies"": [], ""neutral_to"": []}",Interpretation at Source: Mars's influence on the 10th house enhances career prospects,"Mars in the 10th house improves career prospects. (Additional Context: This suggests a strong drive and ambition in one's professional life, potentially leading to success and recognition in their career. Mars's energetic nature could manifest as assertive leadership or competitive drive",0.95,Gemini,Page 1,2025-09-22T00:26:33.135732,
4c0f87ec937c62b7_fact_13,Passed,core_self_vitality,"Identity & Personality,Purpose & Direction","confidence_charisma,other_purpose_direction","The strength of Mars provides the executive ability and courage needed for military, defense, or management roles, especially when influencing the 3rd (courage) or 10th house.","{""type"": ""planet_profile"", ""planet_name"": ""Mars"", ""house"": 3, ""aspects_house"": null, ""karaka_for"": [], ""state"": ""enhances"", ""sign"": null, ""friends"": [], ""enemies"": [], ""neutral_to"": []}",Interpretation at Source: Mars's influence on the 3rd house enhances courage,Mars in the 3rd house increases courage. (Additional Context: This suggests increased assertiveness in communication and short journeys. Mars's fiery energy in the 3rd house might also indicate siblings with strong personalities,0.95,Gemini,Page 1,2025-09-22T00:26:33.135732,
664e4e05b239e860_fact_6,Passed,"Foundational Concepts,career_public_life","Astrological Principles,Prominence & Governance","authority_leadership,general_principle","Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","{""type"": ""planet_profile"", ""planet_name"": ""Mars"", ""house"": null, ""aspects_house"": null, ""karaka_for"": [""command""], ""state"": null, ""sign"": null, ""friends"": [], ""enemies"": [], ""neutral_to"": []}","For Foundation Points, Mars (Mangala) is a key planet signifying command",Mars signifies command in Foundation Points. (Additional Context: Mars's association with command suggests a strong assertive energy influencing the foundational aspects of a chart. This might indicate a forceful personality or a tendency towards taking charge in matters related to the house where this Foundation Point falls,0.95,Gemini,Page 1,2025-09-22T00:26:33.135588,
